"""time"",""status"",""X1"",""X2"",""X3"""
1,0,-0.283866870173628,0,0.468486877623945
4,1,-0.407380289371002,0,0.466120167518966
7,0,-0.2469697981993,0,0.0139158656820655
10,0,0.000909422781091999,0,0.180189343052916
13,0,0.409892466677445,0,0.223547573201358
16,0,0.49837892898469,0,0.314458104898222
19,0,0.375891109517627,0,0.370602105511352
22,0,-0.0627736114814091,0,0.0177127772476524
25,0,0.282309943893821,0,0.398254827363417
28,0,0.0667542784922157,0,0.289670309866779
31,1,-0.0529816047208394,0,0.309556854423136
34,0,0.302964808785618,0,0.338355549378321
37,0,0.00662548743997415,0,0.00216159631963819
40,0,-0.139394349397766,0,0.0937374141067266
43,0,-0.067837264831713,0,0.486174483434297
46,1,0.431572671671845,1,0.375400737626478
49,0,-0.0149050080953538,0,0.190333895036019
52,1,-0.371226548582618,1,0.337305106921121
55,0,-0.436797334460859,0,0.102448109188117
58,1,-0.138653015815549,0,0.405906823347323
